ICD	hcluster_embed	kcluster_embed	dtcluster_embed	dtcolor_embed
J34	3	12	12	tan
J35	2	6	10	purple
J36	2	1	10	purple
J37	3	4	12	tan
J38	3	12	12	tan
J39	3	12	12	tan
J40	3	4	12	tan
J41	3	4	12	tan
J42	3	4	12	tan
J43	3	4	12	tan
J44	3	4	12	tan
J45	3	4	12	tan
J46	3	4	12	tan
J47	3	4	12	tan
J60	3	4	12	tan
J61	3	4	12	tan
J62	3	4	12	tan
J63	3	4	12	tan
J64	3	4	12	tan
J65	3	4	12	tan
J66	3	4	12	tan
J67	3	4	12	tan
J69	3	4	12	tan
J70	3	4	12	tan
J80	3	4	12	tan
J81	3	4	12	tan
J82	3	4	12	tan
J84	3	4	12	tan
J85	3	4	12	tan
J90	3	4	12	tan
J91	3	4	12	tan
J92	3	11	12	tan
J93	3	4	12	tan
J94	3	4	12	tan
J95	3	4	12	tan
J96	3	4	12	tan
J98	3	4	12	tan
J99	3	4	12	tan
K00	2	11	10	purple
K02	2	1	10	purple
K03	2	3	10	purple
K04	2	3	10	purple
K05	2	3	10	purple
K06	2	3	10	purple
K07	7	12	9	magenta
K08	2	3	10	purple
K09	2	3	10	purple
K10	7	12	9	magenta
K11	1	3	4	yellow
K12	2	6	10	purple
K13	2	3	10	purple
K14	1	3	4	yellow
K20	2	6	10	purple
K21	2	3	10	purple
K22	2	3	10	purple
K23	2	3	10	purple
K25	2	3	10	purple
K26	2	3	10	purple
K27	2	3	10	purple
K28	2	3	10	purple
K30	2	15	10	purple
K31	2	3	10	purple
K35	2	3	10	purple
K36	2	3	10	purple
K37	2	3	10	purple
K38	2	3	10	purple
K40	2	3	10	purple
K41	2	3	10	purple
K42	2	3	10	purple
K43	2	3	10	purple
K44	2	3	10	purple
K50	4	1	3	brown
K51	2	3	10	purple
K52	4	3	3	brown
K55	2	3	10	purple
K56	2	3	10	purple
K57	2	3	10	purple
K58	2	3	10	purple
K59	2	3	10	purple
K60	2	3	10	purple
K61	2	3	10	purple
K62	2	3	10	purple
K63	4	3	3	brown
K64	8	3	20	royalblue
K65	2	3	10	purple
K66	2	3	10	purple
K67	2	1	10	purple
K68	4	3	3	brown
K70	8	19	5	green
K71	8	15	5	green
K72	8	3	5	green
K73	8	3	5	green
K74	8	3	5	green
K75	8	3	5	green
K76	8	3	5	green
K77	8	3	5	green
K80	8	3	5	green
K81	8	3	5	green
K82	8	3	5	green
K83	8	3	5	green
K85	8	4	5	green
K86	8	3	5	green
K87	4	3	3	brown
K91	10	3	0	grey
K92	4	3	3	brown
K93	4	3	3	brown
K95	10	1	0	grey
L00	1	6	18	lightgreen
L01	3	6	2	blue
L02	4	6	3	brown
L03	1	6	18	lightgreen
L04	1	1	13	salmon
L08	3	1	2	blue
L10	1	6	18	lightgreen
L11	1	7	18	lightgreen
L12	1	6	18	lightgreen
L13	1	6	18	lightgreen
L14	1	6	18	lightgreen
L20	1	6	18	lightgreen
L21	4	6	3	brown
L22	1	6	18	lightgreen
L23	1	6	18	lightgreen
L24	1	6	18	lightgreen
L25	1	6	18	lightgreen
L27	1	6	13	salmon
L28	4	6	3	brown
L30	4	6	3	brown
L40	1	6	13	salmon
L41	1	6	18	lightgreen
L42	1	6	18	lightgreen
L43	1	6	18	lightgreen
L44	1	6	13	salmon
L45	1	6	13	salmon
L49	1	6	18	lightgreen
L51	1	6	18	lightgreen
L52	1	6	18	lightgreen
L53	1	6	18	lightgreen
L54	1	6	18	lightgreen
L55	1	6	18	lightgreen
L56	1	6	18	lightgreen
L57	1	6	18	lightgreen
L60	1	6	18	lightgreen
L62	1	6	18	lightgreen
L63	1	6	18	lightgreen
L64	1	14	18	lightgreen
L65	1	6	18	lightgreen
L66	1	6	18	lightgreen
L67	1	6	18	lightgreen
L70	4	6	3	brown
L71	4	6	3	brown
L72	4	7	3	brown
L73	1	6	18	lightgreen
L74	1	6	4	yellow
L75	1	6	4	yellow
L76	4	6	3	brown
L80	1	13	18	lightgreen
L83	1	7	18	lightgreen
L84	1	12	18	lightgreen
L85	1	6	18	lightgreen
L86	1	6	18	lightgreen
L87	1	6	18	lightgreen
L88	3	6	2	blue
L90	1	7	18	lightgreen
L91	1	6	18	lightgreen
L92	4	6	3	brown
L93	4	6	3	brown
L94	4	7	3	brown
L95	1	6	18	lightgreen
L97	14	18	19	lightyellow
L98	4	6	3	brown
L99	4	6	3	brown
M00	7	1	9	magenta
M01	7	12	9	magenta
M02	7	12	9	magenta
M03	7	6	9	magenta
M04	5	7	1	turquoise
M05	7	12	9	magenta
M06	7	12	9	magenta
M07	7	6	9	magenta
M09	6	6	16	lightcyan
M10	6	7	16	lightcyan
M11	7	12	9	magenta
M12	7	12	9	magenta
M13	7	12	9	magenta
M14	7	12	9	magenta
M15	7	12	9	magenta
M16	7	7	9	magenta
M17	7	7	9	magenta
M18	7	12	9	magenta
M1A	6	7	16	lightcyan
M20	7	12	9	magenta
M21	7	12	9	magenta
M22	7	18	9	magenta
M23	7	18	9	magenta
M24	7	12	9	magenta
M25	7	12	9	magenta
M26	7	12	9	magenta
M27	7	12	9	magenta
M30	8	6	20	royalblue
M31	8	6	20	royalblue
M32	4	6	3	brown
M33	4	6	3	brown
M34	4	7	3	brown
M35	4	7	3	brown
M36	4	7	3	brown
M40	7	12	9	magenta
M41	7	12	9	magenta
M42	7	12	9	magenta
M43	7	12	9	magenta
M45	7	12	9	magenta
M47	7	12	9	magenta
M48	7	12	9	magenta
M49	7	12	9	magenta
M50	7	12	9	magenta
M51	7	12	9	magenta
M53	7	12	9	magenta
M54	7	12	9	magenta
M60	4	1	3	brown
M61	4	7	3	brown
M62	4	7	3	brown
M63	4	7	3	brown
M65	7	12	9	magenta
M66	14	12	11	greenyellow
M67	7	12	9	magenta
M68	7	6	9	magenta
M70	7	3	9	magenta
M71	7	12	9	magenta
M72	1	6	13	salmon
M73	7	3	9	magenta
M75	14	17	19	lightyellow
M76	7	18	9	magenta
M77	7	17	9	magenta
M79	7	12	9	magenta
M81	7	12	9	magenta
M82	7	7	9	magenta
M83	7	7	9	magenta
M84	7	12	9	magenta
M85	7	12	9	magenta
M86	7	1	9	magenta
M87	7	12	9	magenta
M88	7	12	9	magenta
M89	7	12	9	magenta
M90	7	12	9	magenta
M91	7	12	9	magenta
M92	7	7	9	magenta
M93	7	12	9	magenta
M94	7	12	9	magenta
M95	7	12	9	magenta
M96	10	12	0	grey
M97	7	12	9	magenta
M99	7	12	9	magenta
N00	2	10	10	purple
N01	2	4	10	purple
N02	1	10	14	cyan
N03	1	10	14	cyan
N04	1	15	14	cyan
N05	1	10	14	cyan
