ICD	hcluster_embed	kcluster_embed	dtcluster_embed	dtcolor_embed
V36	19	22	7	black
V37	19	22	7	black
V38	19	22	7	black
V39	19	22	7	black
V40	19	22	7	black
V41	19	22	7	black
V42	19	22	7	black
V43	19	22	7	black
V44	19	22	7	black
V45	19	22	7	black
V46	19	22	7	black
V47	19	22	7	black
V48	19	22	7	black
V49	19	22	7	black
V50	19	22	7	black
V51	19	22	7	black
V52	19	22	7	black
V53	19	22	7	black
V54	19	22	7	black
V55	19	22	7	black
V56	19	22	7	black
V57	19	22	7	black
V58	19	22	7	black
V59	19	22	7	black
V60	19	22	7	black
V61	19	22	7	black
V62	19	22	7	black
V63	19	22	7	black
V64	19	22	7	black
V65	19	22	7	black
V66	19	22	7	black
V67	19	22	7	black
V68	19	22	7	black
V69	19	22	7	black
V70	19	22	7	black
V71	19	22	7	black
V72	19	22	7	black
V73	19	22	7	black
V74	19	22	7	black
V75	19	22	7	black
V76	19	22	7	black
V77	19	22	7	black
V78	19	22	7	black
V79	19	22	7	black
V80	19	22	7	black
V81	19	22	7	black
V82	19	22	7	black
V83	19	22	7	black
V84	19	22	7	black
V85	19	22	7	black
V86	19	22	7	black
V88	19	22	7	black
V89	19	22	7	black
W38	1	12	18	lightgreen
W45	4	6	3	brown
W51	14	18	11	greenyellow
W78	3	4	12	tan
W79	3	4	12	tan
W80	4	4	3	brown
X34	19	22	7	black
X45	12	15	6	red
X46	12	15	6	red
X47	12	21	6	red
X48	12	21	6	red
X49	12	15	6	red
X60	12	21	6	red
X61	12	21	6	red
X62	12	21	6	red
X63	12	21	6	red
X64	12	21	6	red
X65	12	21	6	red
